name,Kalysto,,,,
race,Grey deathclaw,,,,
,,,Resistances,,threshold
Level,1,,poison,40,
HP,39,,Radiation,16,
Armorclass,11,,"Gas, Inhaled",0,
AP,10,,"Gas, Contact",40,
Sequence,12,,Electricity,0,
carry weight,115,,Damage Res,40,4
Healing Rate,,,fire,40,4
,,,explosive,40,4
Melee Damage,4,,,,
critical,1,,,,
,,,,traits,
Strength,6,,,small frame,
Perception,6,,,Domesticated,
Endurance,8,,,,
Charisma,3,,,,
Intelligence,7,,,,
Agility,11,,,,
Luck,1,,,,
,,,,,
Karma,,,,,
,,,,,
,,,,,
Skills,,,,,
,,points,,perks (every 4),
Barter,12,0,,,
Drive,34,0,,,
Energy weapons,22,0,,,
Explosives,44,0,,,
Guns,27,0,,,
Lockpick*,47,0,,,
Medicine,18,0,,,
Melee Weapons,54,0,,,
Repair,21,0,,,
Science,28,0,,,
Sneak*,58,0,,,
Speech,15,0,,,
Survival,30,0,,,
Unarmed*,84,0,,,
,,,,,
attacks,,,,,
claw swing,unarmed,3d8+MD,,,
AP S: 3 ,,,,,
,,,,,
Claw Stab,unarmed,2d10+MD,,,
AP S:3 T: 4,,,,,
,,,,,
Gore,unarmed,2d8+MD,,,
AP S: 4 ,75% chance of knockdown,,,,
,,,,,
Strong punch,unarmed,,,,
